"","X","Question","Answer","Speaker"
"95",95,"

I want to ask about talking to ones fiancee on telephone, is it permissible or not?","If it is feared that you might fall into a sin, it is not permissible. Since she is not related to you through Nikah as of now, you cannot express love or start joking and becoming intimate with her, and after the Islamic Aqd contract(Nikah) it will be fine.","Sistani"
"96",96,"

Can I be in a friendly relationship with a girl in my class.","All kinds of relations with a non-mahram including joking, expressing mutual love, talking with the intention of deriving pleasure, looking at the body of a girl (except her face and hands up to the wrists) and at her hair or looking at her face with pleasure are Haram (forbidden).  In fact, if it is feared that they might fall into a sin, it is forbidden for them to have any kind of relationship with each other.","Sistani"
"98",98,"

Jurists have decreed that it is forbidden [for men] to wear pure and natural silk. Is it permissible for a man to wear silk that is mixed with other material if that clothing item is a necktie [or the normal tie]? And is it forbidden for man to wear the necktie, if it is made of natural and pure silk?","It is not forbidden to wear a tie, and in both examples mentioned above it is permissible. 
As for the item that is mixed with other material to the extent that it cannot be described as “pure silk,” it is also permissible to wear.","Sistani"
"99",99,"

Is it permissible to wear clothes that have pictures of intoxicating drinks as a promotion for drinking them? Is it permissible to sell such items?"," It is forbidden to wear and sell them.","Sistani"
"100",100,"

Is it permissible to wear clothes that have pictures of intoxicating drinks as a promotion for drinking them? Is it permissible to sell such items?","It is forbidden to wear and sell them.","Sistani"
"101",101,"

Even though some manufacturers write on their products that they have been made of natural silk, we doubt such a claim because of the goods being very cheap. Is it permissible for us to wear such an item and say salãt in it?","With doubt [whether the silk is pure], it is permissible to wear and perform prayers in it.","Sistani"
"102",102,"

Jurists have decreed that it is forbidden [for men] to wear pure and natural silk. Is it permissible for a man to wear silk that is mixed with other material if that clothing item is a necktie [or the normal tie]? And is it forbidden for man to wear the necktie, if it is made of natural and pure silk?","It is not forbidden to wear a tie, even if it is from pure silk because it is not [big enough material] to cover the private parts that must be covered [in prayer]. As for the item that is mixed with other material to the extent that it cannot be described as “pure silk,” it is permissible to wear, even if it [is big enough so that it] can cover the private parts that must be covered [in prayer].","Sistani"
"103",103,"

What is the ruling on copying computer software, movies, audio CDs and other such things, which bear the wording “All Rights Reserved” or “Copyright”?","Copyrights must be respected; it is not permissible, if it is against the law (obligatory precaution).","Sistani"
"104",104,"

A lot of books, DVD and software have copyright on them. What is the ruling if I photocopy a book or duplicate a DVD or software for my personal use?","It is permissible, per se, to make personal use of such copyrighted books and software.","Sistani"
"105",105,"

Can I use cracked apps , which I have not done myself?","If someone else has cracked the app, you can use it.","Sistani"
"106",106,"

Is it permissible to sell pirated programs, DVDS, and software?","If it is against the law, it is not permissible but you can use them.","Sistani"
"107",107,"

Some times, I see a group of believers say prayer collectively. As far as I know that kind of prayer is called 'congregational prayer'. Let me know what the procedure of congregational prayer is.","If there are two or more people, they can conduct a congregational prayer. The important requirement here is that the person who is going to lead the prayer (Imam) must fulfill certain conditions, for example, being just (Adil) and reciting the prayers correctly.","Sistani"
"108",108,"

Is it permissible for me to pray behind a Sunni Imam for Friday and for regular congregational prayers, and is it required to prostrate on Turbah inside a mosque, for example, in the mosque of the holy city of Medina?","Taking part in Friday and congregational prayers of the Ahl-e Sunnat is permissible in areas where Taqiyah (dissimulation) is required. If you are not going to face a problem, you should, as far as possible, prostrate on something upon which Sajda (prostration) is permissible. Prostration on carpets in the case of Taqiyah or out of necessity is permissible and there would be no objection in it. Also, it is obligatory upon you to recite first chapter al-Hamd and the second chapter yourself – with the recitation in a low voice though. 
In any case, Friday prayers performed with them is not sufficient for Dhuhr prayers. Therefore, it is necessary to perform Dhuhr prayers separately.","Sistani"
